DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event
6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,1.0,1,1.0,,,,0 days 01:42:35.038000,Finished,25.0,0.0,2015,Mexican Grand Prix
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,2.0,2,2.0,,,,0 days 00:00:01.954000,Finished,18.0,0.0,2015,Mexican Grand Prix
77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,3.0,3,6.0,,,,0 days 00:00:14.592000,Finished,15.0,3.0,2015,Mexican Grand Prix
26,KVY,kvyat,Red Bull,red_bull,Daniil,Kvyat,Daniil Kvyat,4.0,4,4.0,,,,0 days 00:00:16.572000,Finished,12.0,0.0,2015,Mexican Grand Prix
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,5.0,5,5.0,,,,0 days 00:00:19.682000,Finished,10.0,0.0,2015,Mexican Grand Prix
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,6.0,6,7.0,,,,0 days 00:00:21.493000,Finished,8.0,1.0,2015,Mexican Grand Prix
27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,7.0,7,10.0,,,,0 days 00:00:25.860000,Finished,6.0,3.0,2015,Mexican Grand Prix
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,8.0,8,9.0,,,,0 days 00:00:34.343000,Finished,4.0,1.0,2015,Mexican Grand Prix
33,VER,max_verstappen,Toro Rosso,toro_rosso,Max,Verstappen,Max Verstappen,9.0,9,8.0,,,,0 days 00:00:35.229000,Finished,2.0,-1.0,2015,Mexican Grand Prix
8,GRO,grosjean,Lotus F1,lotus_f1,Romain,Grosjean,Romain Grosjean,10.0,10,12.0,,,,0 days 00:00:37.934000,Finished,1.0,2.0,2015,Mexican Grand Prix
13,MAL,maldonado,Lotus F1,lotus_f1,Pastor,Maldonado,Pastor Maldonado,11.0,11,13.0,,,,0 days 00:00:38.538000,Finished,0.0,2.0,2015,Mexican Grand Prix
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,12.0,12,14.0,,,,0 days 00:00:40.180000,Finished,0.0,2.0,2015,Mexican Grand Prix
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,13.0,13,11.0,,,,0 days 00:00:48.772000,Finished,0.0,-2.0,2015,Mexican Grand Prix
22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,14.0,14,20.0,,,,0 days 00:00:49.214000,Finished,0.0,6.0,2015,Mexican Grand Prix
53,RSS,rossi,Manor Marussia,manor,Alexander,Rossi,Alexander Rossi,15.0,15,16.0,,,,,+2 Laps,0.0,1.0,2015,Mexican Grand Prix
28,STE,stevens,Manor Marussia,manor,Will,Stevens,Will Stevens,16.0,16,17.0,,,,,+2 Laps,0.0,1.0,2015,Mexican Grand Prix
12,NAS,nasr,Sauber,sauber,Felipe,Nasr,Felipe Nasr,17.0,R,15.0,,,,,Brakes,0.0,-2.0,2015,Mexican Grand Prix
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,18.0,R,3.0,,,,,Accident,0.0,-15.0,2015,Mexican Grand Prix
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,19.0,R,19.0,,,,,Collision,0.0,0.0,2015,Mexican Grand Prix
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,20.0,R,18.0,,,,,Retired,0.0,-2.0,2015,Mexican Grand Prix
