DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,1.0,1,4.0,,,,0 days 01:21:56.024000,Finished,25.0,3.0,2018,Austrian Grand Prix
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,2.0,2,3.0,,,,0 days 00:00:01.504000,Finished,18.0,1.0,2018,Austrian Grand Prix
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,3.0,3,6.0,,,,0 days 00:00:03.181000,Finished,15.0,3.0,2018,Austrian Grand Prix
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,4.0,4,5.0,,,,,+1 Lap,12.0,1.0,2018,Austrian Grand Prix
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,5.0,5,8.0,,,,,+1 Lap,10.0,3.0,2018,Austrian Grand Prix
31,OCO,ocon,Force India,force_india,Esteban,Ocon,Esteban Ocon,6.0,6,11.0,,,,,+1 Lap,8.0,5.0,2018,Austrian Grand Prix
11,PER,perez,Force India,force_india,Sergio,Perez,Sergio Perez,7.0,7,16.0,,,,,+1 Lap,6.0,9.0,2018,Austrian Grand Prix
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,8.0,8,13.0,,,,,+1 Lap,4.0,5.0,2018,Austrian Grand Prix
16,LEC,leclerc,Sauber,sauber,Charles,Leclerc,Charles Leclerc,9.0,9,18.0,,,,,+1 Lap,2.0,9.0,2018,Austrian Grand Prix
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,10.0,10,20.0,,,,,+1 Lap,1.0,10.0,2018,Austrian Grand Prix
10,GAS,gasly,Toro Rosso,toro_rosso,Pierre,Gasly,Pierre Gasly,11.0,11,12.0,,,,,+1 Lap,0.0,1.0,2018,Austrian Grand Prix
55,SAI,sainz,Renault,renault,Carlos,Sainz,Carlos Sainz,12.0,12,9.0,,,,,+1 Lap,0.0,-3.0,2018,Austrian Grand Prix
35,SIR,sirotkin,Williams,williams,Sergey,Sirotkin,Sergey Sirotkin,13.0,13,17.0,,,,,+2 Laps,0.0,4.0,2018,Austrian Grand Prix
18,STR,stroll,Williams,williams,Lance,Stroll,Lance Stroll,14.0,14,14.0,,,,,+2 Laps,0.0,0.0,2018,Austrian Grand Prix
2,VAN,vandoorne,McLaren,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,15.0,15,15.0,,,,,Collision damage,0.0,0.0,2018,Austrian Grand Prix
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,16.0,R,2.0,,,,,Fuel pressure,0.0,-14.0,2018,Austrian Grand Prix
28,HAR,brendon_hartley,Toro Rosso,toro_rosso,Brendon,Hartley,Brendon Hartley,17.0,R,19.0,,,,,Hydraulics,0.0,2.0,2018,Austrian Grand Prix
3,RIC,ricciardo,Red Bull Racing,red_bull,Daniel,Ricciardo,Daniel Ricciardo,18.0,R,7.0,,,,,Exhaust,0.0,-11.0,2018,Austrian Grand Prix
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,19.0,R,1.0,,,,,Hydraulics,0.0,-18.0,2018,Austrian Grand Prix
27,HUL,hulkenberg,Renault,renault,Nico,Hulkenberg,Nico Hulkenberg,20.0,R,10.0,,,,,Engine,0.0,-10.0,2018,Austrian Grand Prix
