DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event
6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,1.0,1,3.0,,,,0 days 01:27:54.976000,Finished,25.0,2.0,2014,Austrian Grand Prix
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,2.0,2,9.0,,,,0 days 00:00:01.932000,Finished,18.0,7.0,2014,Austrian Grand Prix
77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,3.0,3,2.0,,,,0 days 00:00:08.172000,Finished,15.0,-1.0,2014,Austrian Grand Prix
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,4.0,4,1.0,,,,0 days 00:00:17.358000,Finished,12.0,-3.0,2014,Austrian Grand Prix
14,ALO,alonso,Ferrari,ferrari,Fernando,Alonso,Fernando Alonso,5.0,5,4.0,,,,0 days 00:00:18.553000,Finished,10.0,-1.0,2014,Austrian Grand Prix
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,6.0,6,15.0,,,,0 days 00:00:28.546000,Finished,8.0,9.0,2014,Austrian Grand Prix
20,MAG,kevin_magnussen,McLaren,mclaren,Kevin,Magnussen,Kevin Magnussen,7.0,7,6.0,,,,0 days 00:00:32.031000,Finished,6.0,-1.0,2014,Austrian Grand Prix
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,8.0,8,5.0,,,,0 days 00:00:43.522000,Finished,4.0,-3.0,2014,Austrian Grand Prix
27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,9.0,9,10.0,,,,0 days 00:00:44.137000,Finished,2.0,1.0,2014,Austrian Grand Prix
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,10.0,10,8.0,,,,0 days 00:00:47.777000,Finished,1.0,-2.0,2014,Austrian Grand Prix
22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,11.0,11,11.0,,,,0 days 00:00:50.966000,Finished,0.0,0.0,2014,Austrian Grand Prix
13,MAL,maldonado,Lotus F1,lotus_f1,Pastor,Maldonado,Pastor Maldonado,12.0,12,13.0,,,,,+1 Lap,0.0,1.0,2014,Austrian Grand Prix
99,SUT,sutil,Sauber,sauber,Adrian,Sutil,Adrian Sutil,13.0,13,16.0,,,,,+1 Lap,0.0,3.0,2014,Austrian Grand Prix
8,GRO,grosjean,Lotus F1,lotus_f1,Romain,Grosjean,Romain Grosjean,14.0,14,22.0,,,,,+1 Lap,0.0,8.0,2014,Austrian Grand Prix
17,BIA,jules_bianchi,Marussia,marussia,Jules,Bianchi,Jules Bianchi,15.0,15,18.0,,,,,+2 Laps,0.0,3.0,2014,Austrian Grand Prix
10,KOB,kobayashi,Caterham,caterham,Kamui,Kobayashi,Kamui Kobayashi,16.0,16,19.0,,,,,+2 Laps,0.0,3.0,2014,Austrian Grand Prix
4,CHI,chilton,Marussia,marussia,Max,Chilton,Max Chilton,17.0,17,21.0,,,,,+2 Laps,0.0,4.0,2014,Austrian Grand Prix
9,ERI,ericsson,Caterham,caterham,Marcus,Ericsson,Marcus Ericsson,18.0,18,20.0,,,,,+2 Laps,0.0,2.0,2014,Austrian Grand Prix
21,GUT,gutierrez,Sauber,sauber,Esteban,Gutiérrez,Esteban Gutiérrez,19.0,19,17.0,,,,,+2 Laps,0.0,-2.0,2014,Austrian Grand Prix
25,VER,vergne,Toro Rosso,toro_rosso,Jean-Éric,Vergne,Jean-Éric Vergne,20.0,R,14.0,,,,,Brakes,0.0,-6.0,2014,Austrian Grand Prix
1,VET,vettel,Red Bull,red_bull,Sebastian,Vettel,Sebastian Vettel,21.0,R,12.0,,,,,Electrical,0.0,-9.0,2014,Austrian Grand Prix
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,22.0,R,7.0,,,,,Suspension,0.0,-15.0,2014,Austrian Grand Prix
