DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,1.0,,0 days 01:15:32.312000,Finished,25.0,0.0,2017,Italian Grand Prix,Monza
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,2.0,2,4.0,,0 days 00:00:04.471000,Finished,18.0,2.0,2017,Italian Grand Prix,Monza
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,3.0,3,6.0,,0 days 00:00:36.317000,Finished,15.0,3.0,2017,Italian Grand Prix,Monza
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,4.0,4,16.0,,0 days 00:00:40.335000,Finished,12.0,12.0,2017,Italian Grand Prix,Monza
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,5.0,5,5.0,,0 days 00:01:00.082000,Finished,10.0,0.0,2017,Italian Grand Prix,Monza
31,OCO,ocon,Force India,force_india,Esteban,Ocon,Esteban Ocon,6.0,6,3.0,,0 days 00:01:11.528000,Finished,8.0,-3.0,2017,Italian Grand Prix,Monza
18,STR,stroll,Williams,williams,Lance,Stroll,Lance Stroll,7.0,7,2.0,,0 days 00:01:14.156000,Finished,6.0,-5.0,2017,Italian Grand Prix,Monza
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,8.0,8,7.0,,0 days 00:01:14.834000,Finished,4.0,-1.0,2017,Italian Grand Prix,Monza
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,9.0,9,10.0,,0 days 00:01:15.276000,Finished,2.0,1.0,2017,Italian Grand Prix,Monza
33,VER,max_verstappen,Red Bull,red_bull,Max,Verstappen,Max Verstappen,10.0,10,13.0,,,+1 Lap,1.0,3.0,2017,Italian Grand Prix,Monza
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,11.0,11,9.0,,,+1 Lap,0.0,-2.0,2017,Italian Grand Prix,Monza
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,12.0,12,8.0,,,+1 Lap,0.0,-4.0,2017,Italian Grand Prix,Monza
27,HUL,hulkenberg,Renault,renault,Nico,Hülkenberg,Nico Hülkenberg,13.0,13,14.0,,,+1 Lap,0.0,1.0,2017,Italian Grand Prix,Monza
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,14.0,14,15.0,,,+1 Lap,0.0,1.0,2017,Italian Grand Prix,Monza
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,15.0,15,20.0,,,+1 Lap,0.0,5.0,2017,Italian Grand Prix,Monza
94,WEH,wehrlein,Sauber,sauber,Pascal,Wehrlein,Pascal Wehrlein,16.0,16,12.0,,,+2 Laps,0.0,-4.0,2017,Italian Grand Prix,Monza
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,17.0,17,19.0,,,Gearbox,0.0,2.0,2017,Italian Grand Prix,Monza
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,18.0,18,11.0,,,Gearbox,0.0,-7.0,2017,Italian Grand Prix,Monza
2,VAN,vandoorne,McLaren,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,19.0,R,18.0,,,Engine,0.0,-1.0,2017,Italian Grand Prix,Monza
30,PAL,jolyon_palmer,Renault,renault,Jolyon,Palmer,Jolyon Palmer,20.0,R,17.0,,,Engine,0.0,-3.0,2017,Italian Grand Prix,Monza
