DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,1.0,1,3.0,,0 days 01:28:08.743000,Finished,25.0,2.0,2017,Russian Grand Prix,Sochi
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,2.0,2,1.0,,0 days 00:00:00.617000,Finished,18.0,-1.0,2017,Russian Grand Prix,Sochi
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,3.0,3,2.0,,0 days 00:00:11,Finished,15.0,-1.0,2017,Russian Grand Prix,Sochi
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,4.0,4,4.0,,0 days 00:00:36.320000,Finished,12.0,0.0,2017,Russian Grand Prix,Sochi
33,VER,max_verstappen,Red Bull,red_bull,Max,Verstappen,Max Verstappen,5.0,5,7.0,,0 days 00:01:00.416000,Finished,10.0,2.0,2017,Russian Grand Prix,Sochi
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,6.0,6,9.0,,0 days 00:01:26.788000,Finished,8.0,3.0,2017,Russian Grand Prix,Sochi
31,OCO,ocon,Force India,force_india,Esteban,Ocon,Esteban Ocon,7.0,7,10.0,,0 days 00:01:35.004000,Finished,6.0,3.0,2017,Russian Grand Prix,Sochi
27,HUL,hulkenberg,Renault,renault,Nico,Hülkenberg,Nico Hülkenberg,8.0,8,8.0,,0 days 00:01:36.188000,Finished,4.0,0.0,2017,Russian Grand Prix,Sochi
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,9.0,9,6.0,,,+1 Lap,2.0,-3.0,2017,Russian Grand Prix,Sochi
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,10.0,10,14.0,,,+1 Lap,1.0,4.0,2017,Russian Grand Prix,Sochi
18,STR,stroll,Williams,williams,Lance,Stroll,Lance Stroll,11.0,11,11.0,,,+1 Lap,0.0,0.0,2017,Russian Grand Prix,Sochi
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,12.0,12,12.0,,,+1 Lap,0.0,0.0,2017,Russian Grand Prix,Sochi
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,13.0,13,13.0,,,+1 Lap,0.0,0.0,2017,Russian Grand Prix,Sochi
2,VAN,vandoorne,McLaren,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,14.0,14,20.0,,,+1 Lap,0.0,6.0,2017,Russian Grand Prix,Sochi
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,15.0,15,18.0,,,+1 Lap,0.0,3.0,2017,Russian Grand Prix,Sochi
94,WEH,wehrlein,Sauber,sauber,Pascal,Wehrlein,Pascal Wehrlein,16.0,16,17.0,,,+2 Laps,0.0,1.0,2017,Russian Grand Prix,Sochi
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,17.0,R,5.0,,,Brakes,0.0,-12.0,2017,Russian Grand Prix,Sochi
30,PAL,jolyon_palmer,Renault,renault,Jolyon,Palmer,Jolyon Palmer,18.0,R,16.0,,,Collision,0.0,-2.0,2017,Russian Grand Prix,Sochi
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,19.0,R,19.0,,,Collision,0.0,0.0,2017,Russian Grand Prix,Sochi
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,20.0,W,15.0,,,Power Unit,0.0,-5.0,2017,Russian Grand Prix,Sochi
