DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
16,LEC,leclerc,Ferrari,ferrari,Charles,Leclerc,Charles Leclerc,1.0,1,1.0,,,,0 days 01:15:26.665000,Finished,25.0,0.0,2019,Italian Grand Prix,Monza
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,2.0,2,3.0,,,,0 days 00:00:00.835000,Finished,18.0,1.0,2019,Italian Grand Prix,Monza
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,3.0,3,2.0,,,,0 days 00:00:35.199000,Finished,16.0,-1.0,2019,Italian Grand Prix,Monza
3,RIC,ricciardo,Renault,renault,Daniel,Ricciardo,Daniel Ricciardo,4.0,4,5.0,,,,0 days 00:00:45.515000,Finished,12.0,1.0,2019,Italian Grand Prix,Monza
27,HUL,hulkenberg,Renault,renault,Nico,Hulkenberg,Nico Hulkenberg,5.0,5,6.0,,,,0 days 00:00:58.165000,Finished,10.0,1.0,2019,Italian Grand Prix,Monza
23,ALB,albon,Red Bull Racing,red_bull,Alexander,Albon,Alexander Albon,6.0,6,8.0,,,,0 days 00:00:59.315000,Finished,8.0,2.0,2019,Italian Grand Prix,Monza
11,PER,perez,Racing Point,racing_point,Sergio,Perez,Sergio Perez,7.0,7,18.0,,,,0 days 00:01:13.802000,Finished,6.0,11.0,2019,Italian Grand Prix,Monza
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,8.0,8,19.0,,,,0 days 00:01:14.492000,Finished,4.0,11.0,2019,Italian Grand Prix,Monza
99,GIO,giovinazzi,Alfa Romeo Racing,alfa,Antonio,Giovinazzi,Antonio Giovinazzi,9.0,9,10.0,,,,,+1 Lap,2.0,1.0,2019,Italian Grand Prix,Monza
4,NOR,norris,McLaren,mclaren,Lando,Norris,Lando Norris,10.0,10,16.0,,,,,+1 Lap,1.0,6.0,2019,Italian Grand Prix,Monza
10,GAS,gasly,Toro Rosso,toro_rosso,Pierre,Gasly,Pierre Gasly,11.0,11,17.0,,,,,+1 Lap,0.0,6.0,2019,Italian Grand Prix,Monza
18,STR,stroll,Racing Point,racing_point,Lance,Stroll,Lance Stroll,12.0,12,9.0,,,,,+1 Lap,0.0,-3.0,2019,Italian Grand Prix,Monza
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,13.0,13,4.0,,,,,+1 Lap,0.0,-9.0,2019,Italian Grand Prix,Monza
63,RUS,russell,Williams,williams,George,Russell,George Russell,14.0,14,14.0,,,,,+1 Lap,0.0,0.0,2019,Italian Grand Prix,Monza
7,RAI,raikkonen,Alfa Romeo Racing,alfa,Kimi,Räikkönen,Kimi Räikkönen,15.0,15,0.0,,,,,+1 Lap,0.0,-15.0,2019,Italian Grand Prix,Monza
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,16.0,16,13.0,,,,,+1 Lap,0.0,-3.0,2019,Italian Grand Prix,Monza
88,KUB,kubica,Williams,williams,Robert,Kubica,Robert Kubica,17.0,17,15.0,,,,,+2 Laps,0.0,-2.0,2019,Italian Grand Prix,Monza
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,18.0,R,11.0,,,,,Hydraulics,0.0,-7.0,2019,Italian Grand Prix,Monza
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,19.0,R,12.0,,,,,Engine,0.0,-7.0,2019,Italian Grand Prix,Monza
55,SAI,sainz,McLaren,mclaren,Carlos,Sainz,Carlos Sainz,20.0,R,7.0,,,,,Wheel,0.0,-13.0,2019,Italian Grand Prix,Monza
