DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,2.0,,,,0 days 01:35:50.443000,Finished,26.0,1.0,2019,Spanish Grand Prix,Barcelona
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,2.0,2,1.0,,,,0 days 00:00:04.074000,Finished,18.0,-1.0,2019,Spanish Grand Prix,Barcelona
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,3.0,3,4.0,,,,0 days 00:00:07.679000,Finished,15.0,1.0,2019,Spanish Grand Prix,Barcelona
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,4.0,4,3.0,,,,0 days 00:00:09.167000,Finished,12.0,-1.0,2019,Spanish Grand Prix,Barcelona
16,LEC,leclerc,Ferrari,ferrari,Charles,Leclerc,Charles Leclerc,5.0,5,5.0,,,,0 days 00:00:13.361000,Finished,10.0,0.0,2019,Spanish Grand Prix,Barcelona
10,GAS,gasly,Red Bull Racing,red_bull,Pierre,Gasly,Pierre Gasly,6.0,6,6.0,,,,0 days 00:00:19.576000,Finished,8.0,0.0,2019,Spanish Grand Prix,Barcelona
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,7.0,7,8.0,,,,0 days 00:00:28.159000,Finished,6.0,1.0,2019,Spanish Grand Prix,Barcelona
55,SAI,sainz,McLaren,mclaren,Carlos,Sainz,Carlos Sainz,8.0,8,12.0,,,,0 days 00:00:32.342000,Finished,4.0,4.0,2019,Spanish Grand Prix,Barcelona
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,9.0,9,9.0,,,,0 days 00:00:33.056000,Finished,2.0,0.0,2019,Spanish Grand Prix,Barcelona
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,10.0,10,7.0,,,,0 days 00:00:34.641000,Finished,1.0,-3.0,2019,Spanish Grand Prix,Barcelona
23,ALB,albon,Toro Rosso,toro_rosso,Alexander,Albon,Alexander Albon,11.0,11,11.0,,,,0 days 00:00:35.445000,Finished,0.0,0.0,2019,Spanish Grand Prix,Barcelona
3,RIC,ricciardo,Renault,renault,Daniel,Ricciardo,Daniel Ricciardo,12.0,12,13.0,,,,0 days 00:00:36.758000,Finished,0.0,1.0,2019,Spanish Grand Prix,Barcelona
27,HUL,hulkenberg,Renault,renault,Nico,Hulkenberg,Nico Hulkenberg,13.0,13,0.0,,,,0 days 00:00:39.241000,Finished,0.0,-13.0,2019,Spanish Grand Prix,Barcelona
7,RAI,raikkonen,Alfa Romeo Racing,alfa,Kimi,Räikkönen,Kimi Räikkönen,14.0,14,14.0,,,,0 days 00:00:41.803000,Finished,0.0,0.0,2019,Spanish Grand Prix,Barcelona
11,PER,perez,Racing Point,racing_point,Sergio,Perez,Sergio Perez,15.0,15,15.0,,,,0 days 00:00:46.877000,Finished,0.0,0.0,2019,Spanish Grand Prix,Barcelona
99,GIO,giovinazzi,Alfa Romeo Racing,alfa,Antonio,Giovinazzi,Antonio Giovinazzi,16.0,16,18.0,,,,0 days 00:00:47.691000,Finished,0.0,2.0,2019,Spanish Grand Prix,Barcelona
63,RUS,russell,Williams,williams,George,Russell,George Russell,17.0,17,19.0,,,,,+1 Lap,0.0,2.0,2019,Spanish Grand Prix,Barcelona
88,KUB,kubica,Williams,williams,Robert,Kubica,Robert Kubica,18.0,18,17.0,,,,,+1 Lap,0.0,-1.0,2019,Spanish Grand Prix,Barcelona
18,STR,stroll,Racing Point,racing_point,Lance,Stroll,Lance Stroll,19.0,R,16.0,,,,,Collision,0.0,-3.0,2019,Spanish Grand Prix,Barcelona
4,NOR,norris,McLaren,mclaren,Lando,Norris,Lando Norris,20.0,R,10.0,,,,,Collision,0.0,-10.0,2019,Spanish Grand Prix,Barcelona
