DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,2.0,,,,0 days 01:32:06.350000,Finished,25.0,1.0,2019,Chinese Grand Prix,Shanghai
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,2.0,2,1.0,,,,0 days 00:00:06.552000,Finished,18.0,-1.0,2019,Chinese Grand Prix,Shanghai
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,3.0,3,3.0,,,,0 days 00:00:13.774000,Finished,15.0,0.0,2019,Chinese Grand Prix,Shanghai
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,4.0,4,5.0,,,,0 days 00:00:27.627000,Finished,12.0,1.0,2019,Chinese Grand Prix,Shanghai
16,LEC,leclerc,Ferrari,ferrari,Charles,Leclerc,Charles Leclerc,5.0,5,4.0,,,,0 days 00:00:31.276000,Finished,10.0,-1.0,2019,Chinese Grand Prix,Shanghai
10,GAS,gasly,Red Bull Racing,red_bull,Pierre,Gasly,Pierre Gasly,6.0,6,6.0,,,,0 days 00:01:29.307000,Finished,9.0,0.0,2019,Chinese Grand Prix,Shanghai
3,RIC,ricciardo,Renault,renault,Daniel,Ricciardo,Daniel Ricciardo,7.0,7,7.0,,,,,+1 Lap,6.0,0.0,2019,Chinese Grand Prix,Shanghai
11,PER,perez,Racing Point,racing_point,Sergio,Perez,Sergio Perez,8.0,8,12.0,,,,,+1 Lap,4.0,4.0,2019,Chinese Grand Prix,Shanghai
7,RAI,raikkonen,Alfa Romeo Racing,alfa,Kimi,Räikkönen,Kimi Räikkönen,9.0,9,13.0,,,,,+1 Lap,2.0,4.0,2019,Chinese Grand Prix,Shanghai
23,ALB,albon,Toro Rosso,toro_rosso,Alexander,Albon,Alexander Albon,10.0,10,0.0,,,,,+1 Lap,1.0,-10.0,2019,Chinese Grand Prix,Shanghai
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,11.0,11,10.0,,,,,+1 Lap,0.0,-1.0,2019,Chinese Grand Prix,Shanghai
18,STR,stroll,Racing Point,racing_point,Lance,Stroll,Lance Stroll,12.0,12,16.0,,,,,+1 Lap,0.0,4.0,2019,Chinese Grand Prix,Shanghai
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,13.0,13,9.0,,,,,+1 Lap,0.0,-4.0,2019,Chinese Grand Prix,Shanghai
55,SAI,sainz,McLaren,mclaren,Carlos,Sainz,Carlos Sainz,14.0,14,14.0,,,,,+1 Lap,0.0,0.0,2019,Chinese Grand Prix,Shanghai
99,GIO,giovinazzi,Alfa Romeo Racing,alfa,Antonio,Giovinazzi,Antonio Giovinazzi,15.0,15,19.0,,,,,+1 Lap,0.0,4.0,2019,Chinese Grand Prix,Shanghai
63,RUS,russell,Williams,williams,George,Russell,George Russell,16.0,16,17.0,,,,,+2 Laps,0.0,1.0,2019,Chinese Grand Prix,Shanghai
88,KUB,kubica,Williams,williams,Robert,Kubica,Robert Kubica,17.0,17,18.0,,,,,+2 Laps,0.0,1.0,2019,Chinese Grand Prix,Shanghai
4,NOR,norris,McLaren,mclaren,Lando,Norris,Lando Norris,18.0,18,15.0,,,,,Collision,0.0,-3.0,2019,Chinese Grand Prix,Shanghai
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,19.0,R,11.0,,,,,Collision,0.0,-8.0,2019,Chinese Grand Prix,Shanghai
27,HUL,hulkenberg,Renault,renault,Nico,Hulkenberg,Nico Hulkenberg,20.0,R,8.0,,,,,Power Unit,0.0,-12.0,2019,Chinese Grand Prix,Shanghai
