DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,2.0,,,,0 days 01:28:06.508000,Finished,25.0,1.0,2015,Japanese Grand Prix,Suzuka
6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,2.0,2,1.0,,,,0 days 00:00:18.964000,Finished,18.0,-1.0,2015,Japanese Grand Prix,Suzuka
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,3.0,3,4.0,,,,0 days 00:00:20.850000,Finished,15.0,1.0,2015,Japanese Grand Prix,Suzuka
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,4.0,4,6.0,,,,0 days 00:00:33.768000,Finished,12.0,2.0,2015,Japanese Grand Prix,Suzuka
77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,5.0,5,3.0,,,,0 days 00:00:36.746000,Finished,10.0,-2.0,2015,Japanese Grand Prix,Suzuka
27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,6.0,6,13.0,,,,0 days 00:00:55.559000,Finished,8.0,7.0,2015,Japanese Grand Prix,Suzuka
8,GRO,grosjean,Lotus F1,lotus_f1,Romain,Grosjean,Romain Grosjean,7.0,7,8.0,,,,0 days 00:01:12.298000,Finished,6.0,1.0,2015,Japanese Grand Prix,Suzuka
13,MAL,maldonado,Lotus F1,lotus_f1,Pastor,Maldonado,Pastor Maldonado,8.0,8,11.0,,,,0 days 00:01:13.575000,Finished,4.0,3.0,2015,Japanese Grand Prix,Suzuka
33,VER,max_verstappen,Toro Rosso,toro_rosso,Max,Verstappen,Max Verstappen,9.0,9,17.0,,,,0 days 00:01:35.315000,Finished,2.0,8.0,2015,Japanese Grand Prix,Suzuka
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,10.0,10,10.0,,,,,+1 Lap,1.0,0.0,2015,Japanese Grand Prix,Suzuka
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,11.0,11,12.0,,,,,+1 Lap,0.0,1.0,2015,Japanese Grand Prix,Suzuka
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,12.0,12,9.0,,,,,+1 Lap,0.0,-3.0,2015,Japanese Grand Prix,Suzuka
26,KVY,kvyat,Red Bull,red_bull,Daniil,Kvyat,Daniil Kvyat,13.0,13,20.0,,,,,+1 Lap,0.0,7.0,2015,Japanese Grand Prix,Suzuka
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,14.0,14,15.0,,,,,+1 Lap,0.0,1.0,2015,Japanese Grand Prix,Suzuka
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,15.0,15,7.0,,,,,+1 Lap,0.0,-8.0,2015,Japanese Grand Prix,Suzuka
22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,16.0,16,14.0,,,,,+1 Lap,0.0,-2.0,2015,Japanese Grand Prix,Suzuka
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,17.0,17,5.0,,,,,+2 Laps,0.0,-12.0,2015,Japanese Grand Prix,Suzuka
53,RSS,rossi,Manor Marussia,manor,Alexander,Rossi,Alexander Rossi,18.0,18,19.0,,,,,+2 Laps,0.0,1.0,2015,Japanese Grand Prix,Suzuka
28,STE,stevens,Manor Marussia,manor,Will,Stevens,Will Stevens,19.0,19,18.0,,,,,+3 Laps,0.0,-1.0,2015,Japanese Grand Prix,Suzuka
12,NAS,nasr,Sauber,sauber,Felipe,Nasr,Felipe Nasr,20.0,R,16.0,,,,,Retired,0.0,-4.0,2015,Japanese Grand Prix,Suzuka
